date,trend,open,close,high,low,volume,onedaychgnet,twochgnet,twohmovavg,fiftydaymovavg,onehmovavg,twentydmovavg,thirtydaymovavg,tendaymoveavg,fivedaymovavg,sixtydaymovavg,fortydaymovavg,onehtwentymovavg,volatilitytenday,twohvolatility,bac,bmo,rbc,td,sptsx,spx,sh,nikkei,hs,oil,brasil,usdcad,usdcny,usdjpy
04/12/2013,1,57.83,57.71,58.07,57.54,2592380,-0.19,-0.68,55.6141,59.3756,58.1301,58.73,59.398,57.916,57.68,59.213,59.5327,57.4189,17.43,10.996,12.17,63.21,61.58,40.725,12337.59,1588.85,2206.78,13485.14,22089.05,91.29,54962.65,1.0136,6.1921,98.37
4/13/2013,1,57.83,57.71,58.07,57.54,2592380,-0.19,-0.68,55.6141,59.3756,58.1301,58.73,59.398,57.916,57.68,59.213,59.5327,57.4189,17.43,10.996,12.17,63.21,61.58,40.725,12337.59,1588.85,2206.78,13485.14,22089.05,91.29,54962.65,1.0136,6.1921,98.37
4/14/2013,1,57.83,57.71,58.07,57.54,2592380,-0.19,-0.68,55.6141,59.3756,58.1301,58.73,59.398,57.916,57.68,59.213,59.5327,57.4189,17.43,10.996,12.17,63.21,61.58,40.725,12337.59,1588.85,2206.78,13485.14,22089.05,91.29,54962.65,1.0136,6.1921,98.37
4/15/2013,1,57.52,56.88,57.9,56.8,2916046,-0.83,-1.02,55.6358,59.3402,58.1649,58.5575,59.2563,57.709,57.65,59.204,59.4867,57.442,18.277,11.085,11.98,62.32,60.88,40.085,12004.88,1552.36,2181.941,13275.66,21772.67,88.71,52949.93,1.0256,6.1869,96.77
4/16/2013,1,57.08,57.7,57.74,56.83,2891960,0.82,-0.01,55.6592,59.3162,58.2043,58.4505,59.1497,57.57,57.716,59.2013,59.4665,57.476,18.84,11.004,12.28,63.16,61.47,40.615,12119.92,1574.57,2194.845,13221.44,21672.03,88.72,53990.83,1.0207,6.1832,97.54
4/17/2013,1,57.54,56.83,57.73,56.8,4103421,-0.87,-0.05,55.683,59.2806,58.2301,58.309,59,57.445,57.404,59.1762,59.4085,57.5033,20.278,11.062,11.7,62.96,61.38,40.42,11947.29,1552.01,2193.795,13382.89,21569.67,86.68,52881.96,1.0266,6.1727,98.12
4/18/2013,1,57.35,56.77,57.36,56.65,3475559,-0.06,-0.93,55.7031,59.2438,58.253,58.1705,58.855,57.348,57.178,59.149,59.3275,57.529,18.727,10.994,11.44,62.4,61.03,40,11996.34,1541.61,2197.602,13220.07,21512.52,87.73,53165.91,1.0264,6.1811,98.17
4/19/2013,1,56.6,56.95,57,56.42,4647230,0.18,0.12,55.7212,59.206,58.2775,58.063,58.7283,57.353,57.026,59.1278,59.2532,57.5556,18.771,10.948,11.66,63,61.45,40.265,12065.55,1555.25,2244.643,13316.48,22013.57,88.01,53928.92,1.0266,6.1777,99.52
4/20/2013,1,56.6,56.95,57,56.42,4647230,0.18,0.12,55.7212,59.206,58.2775,58.063,58.7283,57.353,57.026,59.1278,59.2532,57.5556,18.771,10.948,11.66,63,61.45,40.265,12065.55,1555.25,2244.643,13316.48,22013.57,88.01,53928.92,1.0266,6.1777,99.52
4/21/2013,1,56.6,56.95,57,56.42,4647230,0.18,0.12,55.7212,59.206,58.2775,58.063,58.7283,57.353,57.026,59.1278,59.2532,57.5556,18.771,10.948,11.66,63,61.45,40.265,12065.55,1555.25,2244.643,13316.48,22013.57,88.01,53928.92,1.0266,6.1777,99.52
4/22/2013,1,57.25,56.69,57.28,56.64,3461884,-0.26,-0.08,55.7355,59.1652,58.2983,57.925,58.5953,57.319,56.988,59.0975,59.162,57.578,18.51,10.962,11.72,62.93,60.97,40.28,12090.68,1562.5,2242.169,13568.37,22044.37,88.76,54297.73,1.0256,6.1818,99.23
4/23/2013,1,56.98,56.61,57.11,56.55,3724317,-0.08,-0.34,55.7491,59.1182,58.3194,57.784,58.4627,57.243,56.77,59.0663,59.0725,57.5986,14.59,10.731,12.07,63.13,59.87,40.44,12090.94,1578.78,2184.538,13529.65,21806.61,89.18,54884.75,1.0257,6.179,99.48
4/24/2013,1,56.76,56.95,57,56.33,4089241,0.34,0.26,55.7696,59.0818,58.3417,57.653,58.3393,57.099,56.794,59.033,58.9837,57.6211,15.039,10.747,12.31,63.37,60.27,40.75,12270.43,1578.79,2218.318,13843.46,22183.05,91.43,54984.23,1.0256,6.1781,99.51
4/25/2013,1,57.1,56.97,57.1,56.67,3335130,0.02,0.36,55.7896,59.0496,58.3592,57.531,58.236,57.006,56.834,59,58.893,57.6403,15.052,10.692,12.44,63.41,60.48,40.68,12329.51,1585.16,2199.307,13926.08,22401.24,93.64,54963.32,1.0198,6.1706,99.26
4/26/2013,1,56.97,56.9,57.215,56.62,4898165,-0.07,-0.05,55.8116,59.0112,58.3682,57.4205,58.1283,56.925,56.824,58.9672,58.7797,57.659,12.84,10.629,12.42,63.3,60.02,40.55,12220.2,1582.24,2177.912,13884.13,22547.71,93,54252.04,1.0167,6.1651,98.05
